timestamp,event_type,details,mouse_x,mouse_y
2025-02-21T20:49:11.655617300+05:30,mouse_move,"Moved to (1842, 1447)",1842,1447
2025-02-21T20:49:11.960609800+05:30,mouse_move,"Moved to (1844, 1450)",1844,1450
2025-02-21T20:49:12.011089700+05:30,mouse_move,"Moved to (1844, 1474)",1844,1474
2025-02-21T20:49:12.061986100+05:30,mouse_move,"Moved to (1845, 1484)",1845,1484
2025-02-21T20:49:12.113115300+05:30,mouse_move,"Moved to (1851, 1496)",1851,1496
2025-02-21T20:49:12.163561600+05:30,mouse_move,"Moved to (1865, 1500)",1865,1500
2025-02-21T20:49:12.214035+05:30,mouse_move,"Moved to (1887, 1511)",1887,1511
2025-02-21T20:49:12.266027300+05:30,mouse_move,"Moved to (1893, 1516)",1893,1516
2025-02-21T20:49:12.316831300+05:30,mouse_move,"Moved to (1997, 1504)",1997,1504
2025-02-21T20:49:12.367672500+05:30,mouse_move,"Moved to (2388, 765)",2388,765
2025-02-21T20:49:12.418233600+05:30,mouse_move,"Moved to (2436, 257)",2436,257
2025-02-21T20:49:12.469038+05:30,mouse_move,"Moved to (2427, 217)",2427,217
2025-02-21T20:49:12.569957300+05:30,mouse_move,"Moved to (2443, 202)",2443,202
2025-02-21T20:49:12.620723400+05:30,mouse_move,"Moved to (2557, 141)",2557,141
2025-02-21T20:49:12.672823200+05:30,mouse_move,"Moved to (2651, 87)",2651,87
2025-02-21T20:49:12.723490400+05:30,mouse_move,"Moved to (2658, 78)",2658,78
2025-02-21T20:49:12.773918900+05:30,mouse_move,"Moved to (2658, 77)",2658,77
2025-02-21T20:49:12.825417500+05:30,mouse_move,"Moved to (2658, 73)",2658,73
2025-02-21T20:49:12.876318700+05:30,mouse_move,"Moved to (2658, 71)",2658,71
2025-02-21T20:49:12.927225800+05:30,mouse_move,"Moved to (2658, 67)",2658,67
2025-02-21T20:49:13.131435300+05:30,mouse_move,"Moved to (2649, 66)",2649,66
2025-02-21T20:49:13.182634600+05:30,mouse_move,"Moved to (2641, 66)",2641,66
2025-02-21T20:49:13.233701700+05:30,mouse_move,"Moved to (2638, 66)",2638,66
2025-02-21T20:49:13.284193800+05:30,mouse_move,"Moved to (2626, 66)",2626,66
2025-02-21T20:49:13.335761400+05:30,mouse_move,"Moved to (2545, 97)",2545,97
2025-02-21T20:49:13.386674300+05:30,mouse_move,"Moved to (2207, 281)",2207,281
